id_course,heure_depart,distance_km,pluie,jour_semaine,vehicule_type,retard
1000,16:00,11,non,mardi,camion,non
1001,08:00,178,oui,vendredi,camionnette,oui
1002,06:00,28,oui,mardi,fourgon,non
1003,15:00,148,oui,vendredi,camionnette,oui
1004,09:45,155,non,lundi,camion,oui
1005,17:45,92,non,mardi,camion,oui
1006,18:30,31,oui,jeudi,camion,oui
1007,11:30,159,non,lundi,fourgon,oui
1008,13:00,101,oui,vendredi,camionnette,oui
1009,16:30,152,oui,lundi,camion,oui
1010,16:15,79,oui,mardi,camion,oui
1011,12:30,121,non,mardi,camionnette,oui
1012,11:15,176,non,lundi,fourgon,oui
1013,16:15,141,oui,mardi,camionnette,oui
1014,12:30,168,oui,mercredi,camion,oui
1015,09:00,85,non,mercredi,camion,non
1016,09:30,59,non,jeudi,fourgon,non
1017,13:15,72,oui,mardi,fourgon,oui
1018,14:30,196,non,vendredi,camionnette,oui
1019,11:15,40,non,lundi,camion,non
1020,07:15,165,oui,jeudi,fourgon,oui
1021,07:45,102,non,vendredi,camionnette,oui
1022,14:00,179,oui,vendredi,camionnette,oui
1023,18:30,33,non,jeudi,camion,non
1024,13:00,189,non,vendredi,camion,oui
1025,14:00,165,non,vendredi,fourgon,oui
1026,09:15,100,oui,vendredi,fourgon,oui
1027,06:30,130,oui,lundi,camionnette,oui
1028,18:30,66,oui,mardi,fourgon,oui
1029,07:00,192,non,lundi,fourgon,oui
1030,18:15,37,non,vendredi,camion,non
1031,10:45,59,oui,mercredi,camionnette,oui
1032,16:30,117,non,lundi,camion,oui
1033,09:00,91,oui,vendredi,fourgon,oui
1034,09:15,6,oui,lundi,camion,non
1035,07:00,89,oui,vendredi,camion,oui
1036,10:45,59,oui,vendredi,fourgon,oui
1037,13:15,126,non,mardi,camion,oui
1038,07:45,95,non,jeudi,camionnette,non
1039,17:00,177,oui,lundi,camionnette,oui
1040,17:30,32,oui,mardi,camion,oui
1041,14:45,40,non,mardi,camionnette,non
1042,13:15,24,non,vendredi,camion,non
1043,06:00,28,oui,mardi,camionnette,non
1044,13:45,59,non,lundi,camion,non
1045,12:00,104,non,jeudi,camionnette,oui
1046,12:45,44,oui,mercredi,camion,non
1047,06:00,196,non,lundi,camion,oui
1048,15:45,133,oui,lundi,fourgon,oui
1049,07:15,22,oui,mardi,camionnette,non
1050,07:15,153,oui,vendredi,camion,oui
1051,12:30,71,oui,mercredi,camion,oui
1052,10:45,38,non,jeudi,camionnette,non
1053,18:00,7,non,vendredi,fourgon,non
1054,07:00,142,oui,vendredi,camionnette,oui
1055,08:30,22,oui,mercredi,camionnette,non
1056,08:45,144,non,vendredi,fourgon,oui
1057,14:00,175,non,lundi,camion,oui
1058,10:00,32,oui,mercredi,camionnette,non
1059,15:15,188,non,mardi,fourgon,oui
1060,16:30,134,non,mercredi,camion,oui
1061,07:45,75,oui,lundi,camionnette,oui
1062,18:15,168,non,mardi,fourgon,oui
1063,13:45,148,oui,lundi,camion,oui
1064,17:15,144,oui,mercredi,fourgon,oui
1065,14:15,115,oui,lundi,camionnette,oui
1066,11:00,96,oui,mardi,fourgon,oui
1067,07:30,148,non,vendredi,fourgon,oui
1068,08:15,46,oui,jeudi,camion,non
1069,08:30,110,oui,mercredi,camion,oui
1070,18:00,102,oui,jeudi,camion,oui
1071,09:45,94,non,mardi,camion,non
1072,06:15,107,non,mercredi,camion,oui
1073,18:30,94,non,vendredi,camionnette,oui
1074,06:00,71,oui,vendredi,camionnette,oui
1075,06:00,157,non,mercredi,fourgon,oui
1076,18:30,116,oui,jeudi,fourgon,oui
1077,09:30,16,non,lundi,fourgon,non
1078,18:15,98,non,lundi,fourgon,oui
1079,11:30,174,oui,mercredi,fourgon,oui
1080,10:45,88,non,mercredi,fourgon,non
1081,08:15,112,non,mardi,fourgon,oui
1082,15:30,108,oui,mercredi,camionnette,oui
1083,09:45,153,non,jeudi,camionnette,oui
1084,13:15,135,non,mardi,fourgon,oui
1085,07:30,136,non,lundi,camion,oui
1086,16:30,62,oui,mardi,camion,oui
1087,06:15,126,oui,jeudi,camionnette,oui
1088,16:15,188,non,jeudi,camionnette,oui
1089,09:15,172,oui,lundi,camionnette,oui
1090,09:15,183,non,lundi,fourgon,oui
1091,09:00,121,oui,jeudi,fourgon,oui
1092,14:30,198,non,vendredi,fourgon,oui
1093,14:45,145,non,mardi,fourgon,oui
1094,13:45,71,oui,mercredi,fourgon,oui
1095,13:15,75,non,lundi,fourgon,non
1096,10:15,74,non,mercredi,fourgon,non
1097,07:15,43,oui,jeudi,fourgon,non
1098,08:15,21,non,jeudi,camionnette,non
1099,14:45,111,oui,mardi,camionnette,oui
1100,12:00,200,non,jeudi,camion,oui
1101,11:30,197,non,jeudi,fourgon,oui
1102,17:15,129,oui,mercredi,camionnette,oui
1103,13:00,104,non,jeudi,fourgon,oui
1104,08:45,37,oui,jeudi,fourgon,non
1105,15:00,26,non,mardi,camionnette,non
1106,08:00,71,non,mercredi,camion,non
1107,13:30,91,non,mercredi,camionnette,non
1108,10:00,125,oui,vendredi,camion,oui
1109,11:15,171,oui,lundi,camion,oui
1110,09:15,10,oui,mardi,camion,non
1111,13:00,149,oui,jeudi,fourgon,oui
1112,10:30,47,oui,mardi,camionnette,non
1113,07:00,84,non,jeudi,fourgon,non
1114,09:00,156,oui,lundi,fourgon,oui
1115,18:30,180,oui,vendredi,camion,oui
1116,11:45,174,non,lundi,fourgon,oui
